ticker,cik,gics_sector,cik_link_status,eligible_filings
LH,0000920148,Health Care,UNIQUE_CIK_NAME_CANDIDATE,293
PM,0001413329,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,152
DLTR,0000935703,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,149
FITB,0000035527,Financials,UNIQUE_CIK_NAME_CANDIDATE,132
AIZ,0001267238,Financials,UNIQUE_CIK_NAME_CANDIDATE,72
MDT,0001613103,Health Care,UNIQUE_CIK_NAME_CANDIDATE,71
PEG,0000788784,Utilities,UNIQUE_CIK_NAME_CANDIDATE,66
TPR,0001116132,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,65
DD,0001666700,Materials,UNIQUE_CIK_NAME_CANDIDATE,61
HRL,0000048465,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,59
HPQ,0000047217,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,59
PPG,0000079879,Materials,UNIQUE_CIK_NAME_CANDIDATE,55
MKC,0000063754,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,54
SWK,0000093556,Industrials,UNIQUE_CIK_NAME_CANDIDATE,54
AES,0000874761,Utilities,UNIQUE_CIK_NAME_CANDIDATE,53
ATO,0000731802,Utilities,UNIQUE_CIK_NAME_CANDIDATE,53
RL,0001037038,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,53
AEP,0000004904,Utilities,UNIQUE_CIK_NAME_CANDIDATE,52
XYL,0001524472,Industrials,UNIQUE_CIK_NAME_CANDIDATE,51
CMG,0001058090,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,50
EXR,0001289490,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,47
FDX,0001048911,Industrials,UNIQUE_CIK_NAME_CANDIDATE,45
SBAC,0001034054,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,45
DRI,0000940944,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,44
FRT,0000034903,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,44
AVY,0000008818,Materials,UNIQUE_CIK_NAME_CANDIDATE,43
FTNT,0001262039,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,42
GL,0000320335,Financials,UNIQUE_CIK_NAME_CANDIDATE,40
VTRS,0001792044,Health Care,UNIQUE_CIK_NAME_CANDIDATE,39
NXPI,0001413447,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,31
