ticker,cik,gics_sector,cik_link_status
AEP,0000004904,Utilities,UNIQUE_CIK_NAME_CANDIDATE
AES,0000874761,Utilities,UNIQUE_CIK_NAME_CANDIDATE
AIZ,0001267238,Financials,UNIQUE_CIK_NAME_CANDIDATE
ATO,0000731802,Utilities,UNIQUE_CIK_NAME_CANDIDATE
AVY,0000008818,Materials,UNIQUE_CIK_NAME_CANDIDATE
CMG,0001058090,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
DD,0001666700,Materials,UNIQUE_CIK_NAME_CANDIDATE
DLTR,0000935703,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE
DRI,0000940944,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
EXR,0001289490,Real Estate,UNIQUE_CIK_NAME_CANDIDATE
FDX,0001048911,Industrials,UNIQUE_CIK_NAME_CANDIDATE
FITB,0000035527,Financials,UNIQUE_CIK_NAME_CANDIDATE
FRT,0000034903,Real Estate,UNIQUE_CIK_NAME_CANDIDATE
FTNT,0001262039,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
GL,0000320335,Financials,UNIQUE_CIK_NAME_CANDIDATE
HPQ,0000047217,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
HRL,0000048465,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE
LH,0000920148,Health Care,UNIQUE_CIK_NAME_CANDIDATE
MDT,0001613103,Health Care,UNIQUE_CIK_NAME_CANDIDATE
MKC,0000063754,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE
NXPI,0001413447,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
PEG,0000788784,Utilities,UNIQUE_CIK_NAME_CANDIDATE
PM,0001413329,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE
PPG,0000079879,Materials,UNIQUE_CIK_NAME_CANDIDATE
RL,0001037038,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
SBAC,0001034054,Real Estate,UNIQUE_CIK_NAME_CANDIDATE
SWK,0000093556,Industrials,UNIQUE_CIK_NAME_CANDIDATE
TPR,0001116132,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
VTRS,0001792044,Health Care,UNIQUE_CIK_NAME_CANDIDATE
XYL,0001524472,Industrials,UNIQUE_CIK_NAME_CANDIDATE
