ticker,cik,gics_sector,cik_link_status,eligible_filings
A,0001090872,Health Care,UNIQUE_CIK_NAME_CANDIDATE,50
ADBE,0000796343,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,41
ADI,0000006281,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,59
ADSK,0000769397,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,51
AFL,0000004977,Financials,UNIQUE_CIK_NAME_CANDIDATE,56
AJG,0000354190,Financials,UNIQUE_CIK_NAME_CANDIDATE,91
AKAM,0001086222,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,50
ALB,0000915913,Materials,UNIQUE_CIK_NAME_CANDIDATE,62
ALGN,0001097149,Health Care,UNIQUE_CIK_NAME_CANDIDATE,59
ALL,0000899051,Financials,UNIQUE_CIK_NAME_CANDIDATE,153
AMD,0000002488,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,57
AME,0001037868,Industrials,UNIQUE_CIK_NAME_CANDIDATE,41
AMGN,0000318154,Health Care,UNIQUE_CIK_NAME_CANDIDATE,57
AON,0000315293,Financials,UNIQUE_CIK_NAME_CANDIDATE,59
AOS,0000091142,Industrials,UNIQUE_CIK_NAME_CANDIDATE,49
APH,0000820313,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,54
APO,0001858681,Financials,UNIQUE_CIK_NAME_CANDIDATE,66
APTV,0001521332,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,49
ARE,0001035443,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,65
AWK,0001410636,Utilities,UNIQUE_CIK_NAME_CANDIDATE,75
AXP,0000004962,Financials,UNIQUE_CIK_NAME_CANDIDATE,175
AZO,0000866787,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,42
BALL,0000009389,Materials,UNIQUE_CIK_NAME_CANDIDATE,48
BAX,0000010456,Health Care,UNIQUE_CIK_NAME_CANDIDATE,74
BBY,0000764478,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,58
BDX,0000010795,Health Care,UNIQUE_CIK_NAME_CANDIDATE,70
BEN,0000038777,Financials,UNIQUE_CIK_NAME_CANDIDATE,42
BG,0001996862,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,14
BIIB,0000875045,Health Care,UNIQUE_CIK_NAME_CANDIDATE,54
BKNG,0001075531,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,67
BNY,0001390777,Financials,UNIQUE_CIK_NAME_CANDIDATE,50
BRK-B,0001067983,Financials,UNIQUE_CIK_NAME_CANDIDATE,34
BSX,0000885725,Health Care,UNIQUE_CIK_NAME_CANDIDATE,62
C,0000831001,Financials,UNIQUE_CIK_NAME_CANDIDATE,46
CAH,0000721371,Health Care,UNIQUE_CIK_NAME_CANDIDATE,68
CCL,0000815097,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,76
CDNS,0000813672,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,42
CF,0001324404,Materials,UNIQUE_CIK_NAME_CANDIDATE,103
CHD,0000313927,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,45
CHRW,0001043277,Industrials,UNIQUE_CIK_NAME_CANDIDATE,48
CINF,0000020286,Financials,UNIQUE_CIK_NAME_CANDIDATE,147
CL,0000021665,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,43
CME,0001156375,Financials,UNIQUE_CIK_NAME_CANDIDATE,55
CMI,0000026172,Industrials,UNIQUE_CIK_NAME_CANDIDATE,49
CMS,0000811156,Utilities,UNIQUE_CIK_NAME_CANDIDATE,57
CNC,0001071739,Health Care,UNIQUE_CIK_NAME_CANDIDATE,99
CNP,0001130310,Utilities,UNIQUE_CIK_NAME_CANDIDATE,107
COF,0000927628,Financials,UNIQUE_CIK_NAME_CANDIDATE,226
COHR,0000820318,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,75
COO,0000711404,Health Care,UNIQUE_CIK_NAME_CANDIDATE,53
CPAY,0001175454,Financials,UNIQUE_CIK_NAME_CANDIDATE,51
CPRT,0000900075,Industrials,UNIQUE_CIK_NAME_CANDIDATE,45
CRL,0001100682,Health Care,UNIQUE_CIK_NAME_CANDIDATE,61
CSCO,0000858877,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,43
CSX,0000277948,Industrials,UNIQUE_CIK_NAME_CANDIDATE,55
CTAS,0000723254,Industrials,UNIQUE_CIK_NAME_CANDIDATE,41
CVS,0000064803,Health Care,UNIQUE_CIK_NAME_CANDIDATE,78
DE,0000315189,Industrials,UNIQUE_CIK_NAME_CANDIDATE,108
DG,0000029534,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,49
DGX,0001022079,Health Care,UNIQUE_CIK_NAME_CANDIDATE,61
DHI,0000882184,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,45
DHR,0000313616,Health Care,UNIQUE_CIK_NAME_CANDIDATE,56
DLR,0001297996,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,75
DOV,0000029905,Industrials,UNIQUE_CIK_NAME_CANDIDATE,77
DPZ,0001286681,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,87
DTE,0000936340,Utilities,UNIQUE_CIK_NAME_CANDIDATE,212
DVA,0000927066,Health Care,UNIQUE_CIK_NAME_CANDIDATE,49
DXCM,0001093557,Health Care,UNIQUE_CIK_NAME_CANDIDATE,57
EFX,0000033185,Industrials,UNIQUE_CIK_NAME_CANDIDATE,48
EIX,0000827052,Utilities,UNIQUE_CIK_NAME_CANDIDATE,105
EL,0001001250,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,44
ELV,0001156039,Health Care,UNIQUE_CIK_NAME_CANDIDATE,78
EMR,0000032604,Industrials,UNIQUE_CIK_NAME_CANDIDATE,92
EQIX,0001101239,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,72
ES,0000072741,Utilities,UNIQUE_CIK_NAME_CANDIDATE,66
ESS,0000920522,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,65
ETN,0001551182,Industrials,UNIQUE_CIK_NAME_CANDIDATE,45
ETR,0000065984,Utilities,UNIQUE_CIK_NAME_CANDIDATE,67
EXPD,0000746515,Industrials,UNIQUE_CIK_NAME_CANDIDATE,79
EXPE,0001324424,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,66
F,0000037996,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,99
FAST,0000815556,Industrials,UNIQUE_CIK_NAME_CANDIDATE,51
FE,0001031296,Utilities,UNIQUE_CIK_NAME_CANDIDATE,101
FICO,0000814547,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,41
FIS,0001136893,Financials,UNIQUE_CIK_NAME_CANDIDATE,56
FLEX,0000866374,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,55
GD,0000040533,Industrials,UNIQUE_CIK_NAME_CANDIDATE,42
GEN,0000849399,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,62
GILD,0000882095,Health Care,UNIQUE_CIK_NAME_CANDIDATE,50
GIS,0000040704,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,47
GLW,0000024741,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,61
GM,0001467858,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,51
GPC,0000040987,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,63
GPN,0001123360,Financials,UNIQUE_CIK_NAME_CANDIDATE,50
GRMN,0001121788,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,43
HAS,0000046080,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,46
HCA,0000860730,Health Care,UNIQUE_CIK_NAME_CANDIDATE,48
HIG,0000874766,Financials,UNIQUE_CIK_NAME_CANDIDATE,59
HII,0001501585,Industrials,UNIQUE_CIK_NAME_CANDIDATE,44
HSIC,0001000228,Health Care,UNIQUE_CIK_NAME_CANDIDATE,65
HST,0001070750,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,50
HUM,0000049071,Health Care,UNIQUE_CIK_NAME_CANDIDATE,114
IBM,0000051143,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,104
ICE,0001571949,Financials,UNIQUE_CIK_NAME_CANDIDATE,59
IRM,0001020569,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,43
ISRG,0001035267,Health Care,UNIQUE_CIK_NAME_CANDIDATE,69
IT,0000749251,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,55
ITW,0000049826,Industrials,UNIQUE_CIK_NAME_CANDIDATE,43
