ticker,cik,gics_sector,cik_link_status
A,0001090872,Health Care,UNIQUE_CIK_NAME_CANDIDATE
ADBE,0000796343,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
ADI,0000006281,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
ADSK,0000769397,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
AFL,0000004977,Financials,UNIQUE_CIK_NAME_CANDIDATE
AJG,0000354190,Financials,UNIQUE_CIK_NAME_CANDIDATE
AKAM,0001086222,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
ALB,0000915913,Materials,UNIQUE_CIK_NAME_CANDIDATE
ALGN,0001097149,Health Care,UNIQUE_CIK_NAME_CANDIDATE
ALL,0000899051,Financials,UNIQUE_CIK_NAME_CANDIDATE
AMD,0000002488,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
AME,0001037868,Industrials,UNIQUE_CIK_NAME_CANDIDATE
AMGN,0000318154,Health Care,UNIQUE_CIK_NAME_CANDIDATE
AON,0000315293,Financials,UNIQUE_CIK_NAME_CANDIDATE
AOS,0000091142,Industrials,UNIQUE_CIK_NAME_CANDIDATE
APH,0000820313,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
APO,0001858681,Financials,UNIQUE_CIK_NAME_CANDIDATE
APTV,0001521332,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
ARE,0001035443,Real Estate,UNIQUE_CIK_NAME_CANDIDATE
AWK,0001410636,Utilities,UNIQUE_CIK_NAME_CANDIDATE
AXP,0000004962,Financials,UNIQUE_CIK_NAME_CANDIDATE
AZO,0000866787,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
BALL,0000009389,Materials,UNIQUE_CIK_NAME_CANDIDATE
BAX,0000010456,Health Care,UNIQUE_CIK_NAME_CANDIDATE
BBY,0000764478,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
BDX,0000010795,Health Care,UNIQUE_CIK_NAME_CANDIDATE
BEN,0000038777,Financials,UNIQUE_CIK_NAME_CANDIDATE
BG,0001996862,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE
BIIB,0000875045,Health Care,UNIQUE_CIK_NAME_CANDIDATE
BKNG,0001075531,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
BLK,0002012383,Financials,UNIQUE_CIK_NAME_CANDIDATE
BNY,0001390777,Financials,UNIQUE_CIK_NAME_CANDIDATE
BRK-B,0001067983,Financials,UNIQUE_CIK_NAME_CANDIDATE
BSX,0000885725,Health Care,UNIQUE_CIK_NAME_CANDIDATE
C,0000831001,Financials,UNIQUE_CIK_NAME_CANDIDATE
CAH,0000721371,Health Care,UNIQUE_CIK_NAME_CANDIDATE
CCL,0000815097,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE
CDNS,0000813672,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
CF,0001324404,Materials,UNIQUE_CIK_NAME_CANDIDATE
CHD,0000313927,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE
CHRW,0001043277,Industrials,UNIQUE_CIK_NAME_CANDIDATE
CINF,0000020286,Financials,UNIQUE_CIK_NAME_CANDIDATE
CL,0000021665,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE
CME,0001156375,Financials,UNIQUE_CIK_NAME_CANDIDATE
CMI,0000026172,Industrials,UNIQUE_CIK_NAME_CANDIDATE
CMS,0000811156,Utilities,UNIQUE_CIK_NAME_CANDIDATE
CNC,0001071739,Health Care,UNIQUE_CIK_NAME_CANDIDATE
CNP,0001130310,Utilities,UNIQUE_CIK_NAME_CANDIDATE
COF,0000927628,Financials,UNIQUE_CIK_NAME_CANDIDATE
COHR,0000820318,Information Technology,UNIQUE_CIK_NAME_CANDIDATE
COO,0000711404,Health Care,UNIQUE_CIK_NAME_CANDIDATE
