ticker,cik,accession_number,form,filing_date,accepted_at,items,primary_document,archive_dir,index_json_url,classification_status
RF,0001281761,0001281761-16-000148,8-K,2016-07-19,2016-07-18T22:30:44.000Z,"2.02,7.01",rf-20160630x8k.htm,https://www.sec.gov/Archives/edgar/data/1281761/000128176116000148,https://www.sec.gov/Archives/edgar/data/1281761/000128176116000148/index.json,NOT_CLASSIFIED
IBM,0000051143,0001104659-16-133151,8-K,2016-07-19,2016-07-19T12:47:20.000Z,7.01,a16-14976_28k.htm,https://www.sec.gov/Archives/edgar/data/51143/000110465916133151,https://www.sec.gov/Archives/edgar/data/51143/000110465916133151/index.json,NOT_CLASSIFIED
UAL,0000100517,0001193125-16-651195,8-K,2016-07-19,2016-07-19T20:15:57.000Z,"2.02,7.01",d228408d8k.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312516651195,https://www.sec.gov/Archives/edgar/data/100517/000119312516651195/index.json,NOT_CLASSIFIED
LUV,0000092380,0000092380-16-000250,8-K,2016-07-21,2016-07-21T13:38:38.000Z,2.02,er-6302016xcoverpage.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238016000250,https://www.sec.gov/Archives/edgar/data/92380/000009238016000250/index.json,NOT_CLASSIFIED
HUM,0000049071,0000049071-16-000161,8-K,2016-07-21,2016-07-21T17:39:35.000Z,7.01,humana8-ka07212016.htm,https://www.sec.gov/Archives/edgar/data/49071/000004907116000161,https://www.sec.gov/Archives/edgar/data/49071/000004907116000161/index.json,NOT_CLASSIFIED
DPZ,0001286681,0001193125-16-654436,8-K,2016-07-22,2016-07-22T13:04:56.000Z,7.01,d212207d8k.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312516654436,https://www.sec.gov/Archives/edgar/data/1286681/000119312516654436/index.json,NOT_CLASSIFIED
DTE,0000936340,0000936340-16-000366,8-K,2016-07-26,2016-07-26T10:48:57.000Z,"2.02,7.01",a8-kearningsrelease2ndqtr2.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634016000366,https://www.sec.gov/Archives/edgar/data/936340/000093634016000366/index.json,NOT_CLASSIFIED
CINF,0000020286,0000020286-16-000083,8-K,2016-07-26,2016-07-26T20:06:39.000Z,2.02,a2q16release8-k.htm,https://www.sec.gov/Archives/edgar/data/20286/000002028616000083,https://www.sec.gov/Archives/edgar/data/20286/000002028616000083/index.json,NOT_CLASSIFIED
DTE,0000936340,0000936340-16-000371,8-K,2016-07-26,2016-07-26T20:17:46.000Z,7.01,a8-kir7262016.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634016000371,https://www.sec.gov/Archives/edgar/data/936340/000093634016000371/index.json,NOT_CLASSIFIED
ELV,0001156039,0001193125-16-659014,8-K,2016-07-27,2016-07-27T10:07:57.000Z,2.02,d146448d8k.htm,https://www.sec.gov/Archives/edgar/data/1156039/000119312516659014,https://www.sec.gov/Archives/edgar/data/1156039/000119312516659014/index.json,NOT_CLASSIFIED
