ticker,cik,gics_sector,cik_link_status,eligible_filings
A,0001090872,Health Care,UNIQUE_CIK_NAME_CANDIDATE,31
ADBE,0000796343,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,26
ADI,0000006281,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,30
ADSK,0000769397,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,8
AFL,0000004977,Financials,UNIQUE_CIK_NAME_CANDIDATE,28
AJG,0000354190,Financials,UNIQUE_CIK_NAME_CANDIDATE,62
AKAM,0001086222,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,29
ALB,0000915913,Materials,UNIQUE_CIK_NAME_CANDIDATE,18
ALGN,0001097149,Health Care,UNIQUE_CIK_NAME_CANDIDATE,13
ALL,0000899051,Financials,UNIQUE_CIK_NAME_CANDIDATE,56
AMD,0000002488,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,31
AMGN,0000318154,Health Care,UNIQUE_CIK_NAME_CANDIDATE,27
AON,0000315293,Financials,UNIQUE_CIK_NAME_CANDIDATE,8
APH,0000820313,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,15
ARE,0001035443,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,39
AWK,0001410636,Utilities,UNIQUE_CIK_NAME_CANDIDATE,11
AXP,0000004962,Financials,UNIQUE_CIK_NAME_CANDIDATE,141
AZO,0000866787,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,26
BALL,0000009389,Materials,UNIQUE_CIK_NAME_CANDIDATE,38
BBY,0000764478,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,91
BDX,0000010795,Health Care,UNIQUE_CIK_NAME_CANDIDATE,29
BEN,0000038777,Financials,UNIQUE_CIK_NAME_CANDIDATE,15
BIIB,0000875045,Health Care,UNIQUE_CIK_NAME_CANDIDATE,9
BKNG,0001075531,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,15
BNY,0001390777,Financials,UNIQUE_CIK_NAME_CANDIDATE,24
BRK-B,0001067983,Financials,UNIQUE_CIK_NAME_CANDIDATE,8
BSX,0000885725,Health Care,UNIQUE_CIK_NAME_CANDIDATE,31
CAH,0000721371,Health Care,UNIQUE_CIK_NAME_CANDIDATE,11
CCL,0000815097,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,20
CDNS,0000813672,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,30
CF,0001324404,Materials,UNIQUE_CIK_NAME_CANDIDATE,12
CHD,0000313927,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,10
CHRW,0001043277,Industrials,UNIQUE_CIK_NAME_CANDIDATE,31
CINF,0000020286,Financials,UNIQUE_CIK_NAME_CANDIDATE,95
CL,0000021665,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,29
CME,0001156375,Financials,UNIQUE_CIK_NAME_CANDIDATE,27
CMI,0000026172,Industrials,UNIQUE_CIK_NAME_CANDIDATE,29
CMS,0000811156,Utilities,UNIQUE_CIK_NAME_CANDIDATE,29
CNC,0001071739,Health Care,UNIQUE_CIK_NAME_CANDIDATE,45
CNP,0001130310,Utilities,UNIQUE_CIK_NAME_CANDIDATE,10
COF,0000927628,Financials,UNIQUE_CIK_NAME_CANDIDATE,172
COHR,0000820318,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,43
COO,0000711404,Health Care,UNIQUE_CIK_NAME_CANDIDATE,17
CPAY,0001175454,Financials,UNIQUE_CIK_NAME_CANDIDATE,15
CPRT,0000900075,Industrials,UNIQUE_CIK_NAME_CANDIDATE,27
CSCO,0000858877,Information Technology,UNIQUE_CIK_NAME_CANDIDATE,27
CSX,0000277948,Industrials,UNIQUE_CIK_NAME_CANDIDATE,8
CTAS,0000723254,Industrials,UNIQUE_CIK_NAME_CANDIDATE,25
CVS,0000064803,Health Care,UNIQUE_CIK_NAME_CANDIDATE,35
DE,0000315189,Industrials,UNIQUE_CIK_NAME_CANDIDATE,25
DG,0000029534,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,27
DHI,0000882184,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,26
DHR,0000313616,Health Care,UNIQUE_CIK_NAME_CANDIDATE,33
DLR,0001297996,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,69
DOV,0000029905,Industrials,UNIQUE_CIK_NAME_CANDIDATE,28
DPZ,0001286681,Consumer Discretionary,UNIQUE_CIK_NAME_CANDIDATE,11
DTE,0000936340,Utilities,UNIQUE_CIK_NAME_CANDIDATE,152
DXCM,0001093557,Health Care,UNIQUE_CIK_NAME_CANDIDATE,36
EIX,0000827052,Utilities,UNIQUE_CIK_NAME_CANDIDATE,19
EL,0001001250,Consumer Staples,UNIQUE_CIK_NAME_CANDIDATE,26
ELV,0001156039,Health Care,UNIQUE_CIK_NAME_CANDIDATE,33
EMR,0000032604,Industrials,UNIQUE_CIK_NAME_CANDIDATE,41
EQIX,0001101239,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,39
ES,0000072741,Utilities,UNIQUE_CIK_NAME_CANDIDATE,9
ESS,0000920522,Real Estate,UNIQUE_CIK_NAME_CANDIDATE,19
ETN,0001551182,Industrials,UNIQUE_CIK_NAME_CANDIDATE,15
