target_rank,reference_ticker,company_name,reference_cik,collection_ciks,accepted_symbols,observed_settlement_dates,time_valid_cik_linked_dates,unresolved_observed_ticker_dates,classification,collection_route,boundary_rule,selected_without_price_outcomes
1,FOXA,Fox Corp,0001754301,0001754301,FOX|FOXA,122,0,122,MULTI_CLASS_TAG_COVER_GAP,PRIMARY_COVER_MULTI_SYMBOL_CONTEXTS,,True
2,NWSA,NEWS CORP,0001564708,0001564708,NWS|NWSA,122,0,122,MULTI_CLASS_TAG_COVER_GAP,PRIMARY_COVER_MULTI_SYMBOL_CONTEXTS,,True
3,DOC,"HEALTHPEAK PROPERTIES, INC.",0000765880,0000765880,PEAK|DOC,122,54,68,TICKER_REUSE_AND_CURRENT_ISSUER_RENAME,PRIMARY_COVER_PLUS_COLLISION_BOUNDARY,DOC observations before the verified PEAK to DOC transition must not be assigned to this CIK by ticker alone.,True
4,BG,Bunge Global SA,0001996862,0001144519|0001996862,BG,122,60,62,CORPORATE_SUCCESSION_NEW_CIK,SEPARATE_PREDECESSOR_AND_SUCCESSOR_COVER,The predecessor and successor CIK spans require separate primary cover anchors.,True
5,HON,HONEYWELL INTERNATIONAL INC,0000773840,0000773840,HON,122,77,45,PRIMARY_COVER_INTERVAL_GAP,PRIMARY_COVER_STANDARD_FORMS,,True
6,COHR,COHERENT CORP.,0000820318,0000820318,COHR,118,90,28,PRIMARY_COVER_INTERVAL_GAP,PRIMARY_COVER_STANDARD_FORMS,,True
7,CRH,CRH PUBLIC LTD CO,0000849395,0000849395,CRH,122,103,19,FOREIGN_ISSUER_COVER_GAP,PRIMARY_20F_6K_40F_COVER,,True
8,DOV,DOVER Corp,0000029905,0000029905,DOV,122,105,17,PRIMARY_COVER_INTERVAL_GAP,PRIMARY_COVER_STANDARD_FORMS,,True
9,PHM,PULTEGROUP INC/MI/,0000822416,0000822416,PHM,122,105,17,PRIMARY_COVER_INTERVAL_GAP,PRIMARY_COVER_STANDARD_FORMS,,True
10,APO,"Apollo Global Management, Inc.",0001858681,0001858681,APO,122,106,16,PRIMARY_COVER_INTERVAL_GAP,PRIMARY_COVER_STANDARD_FORMS,,True
11,AWK,"American Water Works Company, Inc.",0001410636,0001410636,AWK,122,107,15,PRIMARY_COVER_INTERVAL_GAP,PRIMARY_COVER_STANDARD_FORMS,,True
12,DOW,DOW INC.,0001751788,0001751788,DOW,122,108,14,PRIMARY_COVER_INTERVAL_GAP,PRIMARY_COVER_STANDARD_FORMS,,True
13,META,"Meta Platforms, Inc.",0001326801,0001326801,FB|META,111,97,14,SAME_CIK_RENAME,PRIMARY_COVER_BOTH_SYMBOL_SPANS,,True
14,COR,"Cencora, Inc.",0001140859,0001140859,ABC|COR,82,69,13,SAME_CIK_RENAME,PRIMARY_COVER_BOTH_SYMBOL_SPANS,,True
15,PNW,PINNACLE WEST CAPITAL CORP,0000764622,0000764622,PNW,122,109,13,PRIMARY_COVER_INTERVAL_GAP,PRIMARY_COVER_STANDARD_FORMS,,True
16,USB,US BANCORP DE,0000036104,0000036104,USB,122,109,13,PRIMARY_COVER_INTERVAL_GAP,PRIMARY_COVER_STANDARD_FORMS,,True
17,D,"DOMINION ENERGY, INC",0000715957,0000715957,D,122,110,12,PRIMARY_COVER_INTERVAL_GAP,PRIMARY_COVER_STANDARD_FORMS,,True
18,ECHO,EchoStar CORP,0001415404,0001415404,SATS|ECHO,12,1,11,SAME_CIK_RENAME,PRIMARY_COVER_BOTH_SYMBOL_SPANS,,True
19,FIX,COMFORT SYSTEMS USA INC,0001035983,0001035983,FIX,122,111,11,PRIMARY_COVER_INTERVAL_GAP,PRIMARY_COVER_STANDARD_FORMS,,True
20,FITB,FIFTH THIRD BANCORP,0000035527,0000035527,FITB,122,113,9,PRIMARY_COVER_INTERVAL_GAP,PRIMARY_COVER_STANDARD_FORMS,,True
21,IEX,IDEX CORP /DE/,0000832101,0000832101,IEX,122,113,9,PRIMARY_COVER_INTERVAL_GAP,PRIMARY_COVER_STANDARD_FORMS,,True
22,DHI,HORTON D R INC /DE/,0000882184,0000882184,DHI,122,114,8,PRIMARY_COVER_INTERVAL_GAP,PRIMARY_COVER_STANDARD_FORMS,,True
23,HLT,Hilton Worldwide Holdings Inc.,0001585689,0001585689,HLT,122,114,8,PRIMARY_COVER_INTERVAL_GAP,PRIMARY_COVER_STANDARD_FORMS,,True
24,IP,INTERNATIONAL PAPER CO /NEW/,0000051434,0000051434,IP,122,114,8,PRIMARY_COVER_INTERVAL_GAP,PRIMARY_COVER_STANDARD_FORMS,,True
25,MTD,METTLER TOLEDO INTERNATIONAL INC/,0001037646,0001037646,MTD,122,114,8,PRIMARY_COVER_INTERVAL_GAP,PRIMARY_COVER_STANDARD_FORMS,,True
