ticker,asset_type,cik,fold_id,as_of,available_fact_rows,available_accessions,available_concepts,status
AAPL,EQUITY,0000320193,F01,2020-08-18,6467,17,311,PIT_FACTS_READY
AAPL,EQUITY,0000320193,F02,2021-08-18,7921,21,331,PIT_FACTS_READY
AAPL,EQUITY,0000320193,F03,2022-08-18,9201,25,335,PIT_FACTS_READY
AAPL,EQUITY,0000320193,F04,2023-08-18,10431,29,343,PIT_FACTS_READY
AAPL,EQUITY,0000320193,F05,2024-08-19,11583,33,349,PIT_FACTS_READY
ABBV,EQUITY,0001551152,F01,2020-08-18,6690,17,352,PIT_FACTS_READY
ABBV,EQUITY,0001551152,F02,2021-08-18,8344,21,363,PIT_FACTS_READY
ABBV,EQUITY,0001551152,F03,2022-08-18,9974,25,372,PIT_FACTS_READY
ABBV,EQUITY,0001551152,F04,2023-08-18,11578,29,377,PIT_FACTS_READY
ABBV,EQUITY,0001551152,F05,2024-08-19,13182,33,382,PIT_FACTS_READY
AMT,EQUITY,0001053507,F01,2020-08-18,8737,17,443,PIT_FACTS_READY
AMT,EQUITY,0001053507,F02,2021-08-18,10741,21,455,PIT_FACTS_READY
AMT,EQUITY,0001053507,F03,2022-08-18,12723,25,475,PIT_FACTS_READY
AMT,EQUITY,0001053507,F04,2023-08-18,14636,29,482,PIT_FACTS_READY
AMT,EQUITY,0001053507,F05,2024-08-19,16514,33,489,PIT_FACTS_READY
AMZN,EQUITY,0001018724,F01,2020-08-18,7532,17,361,PIT_FACTS_READY
AMZN,EQUITY,0001018724,F02,2021-08-18,9487,21,374,PIT_FACTS_READY
AMZN,EQUITY,0001018724,F03,2022-08-18,11398,25,384,PIT_FACTS_READY
AMZN,EQUITY,0001018724,F04,2023-08-18,13342,29,396,PIT_FACTS_READY
AMZN,EQUITY,0001018724,F05,2024-08-19,15294,33,401,PIT_FACTS_READY
APD,EQUITY,0000002969,F01,2020-08-18,10031,18,497,PIT_FACTS_READY
APD,EQUITY,0000002969,F02,2021-08-18,12100,22,513,PIT_FACTS_READY
APD,EQUITY,0000002969,F03,2022-08-18,13951,26,521,PIT_FACTS_READY
APD,EQUITY,0000002969,F04,2023-08-18,15755,30,538,PIT_FACTS_READY
APD,EQUITY,0000002969,F05,2024-08-19,17551,34,547,PIT_FACTS_READY
AVGO,EQUITY,0001730168,F01,2020-08-18,5075,10,368,PIT_FACTS_READY
