cik,acceptance_records,fact_rows,missing_acceptances,status
0000002969,1001,20830,0,PIT_READY
0000012927,3013,20820,0,PIT_READY
0000018230,3011,22067,0,PIT_READY
0000019617,135660,32588,0,PIT_READY
0000021344,3011,22051,0,PIT_READY
0000040545,3006,24882,0,PIT_READY
0000059478,3001,14084,0,PIT_READY
0000063908,3001,14740,0,PIT_READY
0000070858,39768,26099,0,PIT_READY
0000077476,1000,20600,0,PIT_READY
0000080424,3005,15147,0,PIT_READY
0000087347,2617,14124,0,PIT_READY
0000089800,2993,18287,0,PIT_READY
0000092122,3008,18262,0,PIT_READY
0000093410,2834,19579,0,PIT_READY
0000100885,3004,14720,0,PIT_READY
0000104169,3013,14842,0,PIT_READY
0000200406,3001,16869,0,PIT_READY
0000310158,3000,17919,0,PIT_READY
0000320187,1000,12221,0,PIT_READY
0000320193,1000,13607,0,PIT_READY
0000354950,3002,12694,0,PIT_READY
0000731766,3000,17048,0,PIT_READY
0000753308,3015,16574,0,PIT_READY
0000773840,3003,18335,0,PIT_READY
0000789019,3010,19352,0,PIT_READY
0000821189,3001,13937,0,PIT_READY
0000831259,1000,18537,0,PIT_READY
0000886982,75861,27541,0,PIT_READY
0000909832,2711,14075,0,PIT_READY
0001018724,3000,18819,0,PIT_READY
0001045609,2946,14627,0,PIT_READY
0001045810,2460,16475,0,PIT_READY
0001053507,2584,20201,0,PIT_READY
0001065280,3005,14684,0,PIT_READY
0001108524,5013,18221,1,MISSING_ACCEPTANCE_LINKS
0001141391,2353,16667,0,PIT_READY
0001163165,3000,20373,0,PIT_READY
0001164727,3007,22435,0,PIT_READY
0001283699,3003,20457,0,PIT_READY
0001326160,3008,21104,0,PIT_READY
0001326801,4145,13122,0,PIT_READY
0001341439,1001,15215,0,PIT_READY
0001403161,1002,14150,0,PIT_READY
0001551152,1502,16094,0,PIT_READY
0001652044,2656,18235,0,PIT_READY
0001707925,749,13946,0,PIT_READY
0001730168,987,15076,0,PIT_READY
0001744489,1130,16022,0,PIT_READY
0002115436,26,5,0,PIT_READY
