ticker,signal_date,fold_id,business_state,business_month_end,common_return_63d,residual_return_63d,systematic_fraction,group,FORWARD_TOTAL_RETURN,FORWARD_TROUGH_RETURN,outcome_end
AAPL,2018-11-30,F01,PASS,2018-10-31,-0.11821591567178905,-0.12098586341115533,0.49421001852497554,EXCLUDED_UNKNOWN_OR_MIDDLE,0.030512165694402293,-0.20377426110729868,2019-06-05
AAPL,2020-02-28,F02,PASS,2020-01-31,0.023466618962996393,0.012646526306902238,,EXCLUDED_UNKNOWN_OR_MIDDLE,0.8374948696994442,-0.1792141696754248,2020-08-27
AAPL,2020-09-30,F02,PASS,2020-08-31,0.12002976030089597,0.1225609873965768,,EXCLUDED_UNKNOWN_OR_MIDDLE,0.06550665679351386,-0.06078914910873068,2021-04-01
AAPL,2021-05-28,F02,PASS,2021-04-30,-0.007048536468057251,-0.016453569644303084,0.2999108434945859,HEALTHY_FIRM_SPECIFIC,0.26213092456686704,-0.008586847722058755,2021-11-26
AAPL,2022-04-29,F03,PASS,2022-03-31,-0.10441842943269203,0.02833123890179233,1.0,HEALTHY_SYSTEMATIC,-0.009289795732198236,-0.17379570194163418,2022-10-28
AAPL,2024-04-30,F04,PASS,2024-03-31,-0.020476966189377666,-0.07716468087001008,0.20971549339927803,HEALTHY_FIRM_SPECIFIC,0.37531703878949063,-0.0060472001366875805,2024-10-29
AAPL,2025-03-31,F04,PASS,2025-02-28,-0.07564825767105525,-0.07689518416290403,0.49591288069530365,EXCLUDED_UNKNOWN_OR_MIDDLE,0.149116587247208,-0.22378789100008434,2025-09-30
ABBV,2018-03-29,F01,PASS,2018-02-28,-0.027011778668666102,-0.001540298526826014,0.946053013366425,HEALTHY_SYSTEMATIC,0.015177102235298445,-0.051452787527195176,2018-09-27
ABBV,2019-01-31,F01,PASS,2018-12-31,0.05508946660173184,-0.05613770333086048,0.0,HEALTHY_FIRM_SPECIFIC,-0.15694216391551719,-0.1708666071520495,2019-08-01
ABBV,2020-02-28,F02,PASS,2020-01-31,-0.056091815762988745,0.04633175629685629,1.0,HEALTHY_SYSTEMATIC,0.13025865374889367,-0.24746257013905892,2020-08-27
ABBV,2020-09-30,F02,PASS,2020-08-31,0.041268792824327064,-0.15300375496387045,0.0,HEALTHY_FIRM_SPECIFIC,0.27051425098483706,-0.06854534423396952,2021-04-01
ABBV,2022-04-29,F03,PASS,2022-03-31,0.01825789910887851,0.05314730125214563,,EXCLUDED_UNKNOWN_OR_MIDDLE,0.024692046039958893,-0.07771387603893476,2022-10-28
ABBV,2023-01-31,F03,PASS,2022-12-31,-0.01242176851629304,0.022830976729658826,1.0,HEALTHY_SYSTEMATIC,0.031644460133939845,-0.09489697384924933,2023-08-02
ABBV,2024-05-31,F04,VETO,2024-04-30,-0.02615411245111833,-0.06853893501605271,0.27619886729472565,DAMAGED_FIRM_SPECIFIC,0.15408484388343524,-0.006512113941812059,2024-11-29
ABBV,2024-11-29,F04,VETO,2024-10-31,-0.10675236888006523,0.04411463516141087,1.0,DAMAGED_SYSTEMATIC,0.043318666875375555,-0.06633365497079102,2025-06-04
ABBV,2025-06-30,F04,VETO,2025-05-31,-0.1002622298096508,0.008739247540566614,1.0,DAMAGED_SYSTEMATIC,0.2634000831186034,0.004453087827045232,2025-12-29
AMT,2020-09-30,F02,UNKNOWN,2020-08-31,0.05272790905680173,-0.14126834440778727,0.0,EXCLUDED_UNKNOWN_OR_MIDDLE,-0.0013502470483988116,-0.17357414710327457,2021-04-01
