ticker,cik,gics_sector,sector_etf,verified_removal_date,sp_source_url,sp_source_sha256,identity_basis,sector_basis,selected_without_price_or_earnings_outcomes,price_rows,price_start,price_end,selection_role
AAP,0001158449,Consumer Discretionary,XLY,2023-08-25,https://press.spglobal.com/2023-08-21-Kenvue-Set-to-Join-S-P-500-Advance-Auto-Parts-to-Join-S-P-SmallCap-600,b680c006b7f897a44b4e88861f00ececca9ed674feb86ae7783e7c2752b78dfe,VERIFIED_S&P_REMOVAL_EVENT_CIK,OFFICIAL_S&P_RELEASE_TABLE_ROW,True,3665,2012-01-03,2026-07-31,FORMER_CONSTITUENT_TICKER_DISJOINT_FALSIFICATION
BWA,0000908255,Consumer Discretionary,XLY,2025-03-24,"https://press.spglobal.com/2025-03-07-DoorDash,-TKO-Group-Holdings,-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100,-S-P-MidCap-400-and-S-P-SmallCap-600",bb9a0876ab42a19b9e018ed48bd59c10e1c26281f7774cd42ba5d1b96ce65c58,VERIFIED_S&P_REMOVAL_EVENT_CIK,OFFICIAL_S&P_RELEASE_TABLE_ROW,True,3665,2012-01-03,2026-07-31,FORMER_CONSTITUENT_TICKER_DISJOINT_FALSIFICATION
ETSY,0001370637,Consumer Discretionary,XLY,2024-09-23,"https://press.spglobal.com/2024-09-06-Palantir-Technologies,-Dell-Technologies,-and-Erie-Indemnity-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600",a39d0eaffbb42698eb8450bcec1755b87f738c1c2b5aa5eef73b1ece645612b4,VERIFIED_S&P_REMOVAL_EVENT_CIK,OFFICIAL_S&P_RELEASE_TABLE_ROW,True,2840,2015-04-16,2026-07-31,FORMER_CONSTITUENT_TICKER_DISJOINT_FALSIFICATION
FLS,0000030625,Industrials,XLI,2021-03-22,https://press.spglobal.com/2021-03-12-NXP-Semiconductors-Penn-National-Gaming-Generac-Holdings-and-Caesars-Entertainment-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-S-P-SmallCap-600-and-S-P-100,ee50eb88429bb7951bc134f1d804f3ddeb093814e5f37d6271b574e2b8d1b58e,VERIFIED_S&P_REMOVAL_EVENT_CIK,OFFICIAL_S&P_RELEASE_TABLE_ROW,True,3665,2012-01-03,2026-07-31,FORMER_CONSTITUENT_TICKER_DISJOINT_FALSIFICATION
FMC,0000037785,Materials,XLB,2025-03-24,"https://press.spglobal.com/2025-03-07-DoorDash,-TKO-Group-Holdings,-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100,-S-P-MidCap-400-and-S-P-SmallCap-600",bb9a0876ab42a19b9e018ed48bd59c10e1c26281f7774cd42ba5d1b96ce65c58,VERIFIED_S&P_REMOVAL_EVENT_CIK,OFFICIAL_S&P_RELEASE_TABLE_ROW,True,3665,2012-01-03,2026-07-31,FORMER_CONSTITUENT_TICKER_DISJOINT_FALSIFICATION
HRB,0000012659,Consumer Discretionary,XLY,2020-09-21,https://press.spglobal.com/2020-09-04-Etsy-Teradyne-and-Catalent-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,0291b7e22bf05d86a1d6369423540f281a55e6cb41bb93c7a76dec8c49776ee8,VERIFIED_S&P_REMOVAL_EVENT_CIK,OFFICIAL_S&P_RELEASE_TABLE_ROW,True,3665,2012-01-03,2026-07-31,FORMER_CONSTITUENT_TICKER_DISJOINT_FALSIFICATION
IPGP,0001111928,Information Technology,XLK,2022-06-21,"https://press.spglobal.com/2022-06-03-Keurig-Dr-Pepper,-VICI-Properties-and-ON-Semiconductor-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400,-and-S-P-SmallCap-600",81bd96012c6518f10f51661fcd459780e203af2f055c3e378255715eb9c69dec,VERIFIED_S&P_REMOVAL_EVENT_CIK,OFFICIAL_S&P_RELEASE_TABLE_ROW,True,3665,2012-01-03,2026-07-31,FORMER_CONSTITUENT_TICKER_DISJOINT_FALSIFICATION
LNC,0000059558,Financials,XLF,2023-09-18,"https://press.spglobal.com/2023-09-01-Blackstone-and-Airbnb-Set-to-Join-S-P-500-Others-to-Join-S-P-100,-S-P-MidCap-400-and-S-P-SmallCap-600",790578f797338a421f6d7b8fe1fbff0df820c7d66c0b732b53977cd0d0808a49,VERIFIED_S&P_REMOVAL_EVENT_CIK,OFFICIAL_S&P_RELEASE_TABLE_ROW,True,3665,2012-01-03,2026-07-31,FORMER_CONSTITUENT_TICKER_DISJOINT_FALSIFICATION
LUMN,0000018926,Communication Services,XLC,2023-03-20,https://press.spglobal.com/2023-03-03-Fair-Isaac-Co-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,4d400d7f53ef251609cf879f9e623de189d38b1075319bcaf8ccf9140fb78273,VERIFIED_S&P_REMOVAL_EVENT_CIK,OFFICIAL_S&P_RELEASE_TABLE_ROW,True,3665,2012-01-03,2026-07-31,FORMER_CONSTITUENT_TICKER_DISJOINT_FALSIFICATION
NOV,0001021860,Energy,XLE,2021-09-20,"https://press.spglobal.com/2021-09-03-Match-Group,-Ceridian-HCM-and-Brown-Brown-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600",3c128e659839199da44102b814e2ffc0862f1722d853c7585953ab6c0d68de97,VERIFIED_S&P_REMOVAL_EVENT_CIK,OFFICIAL_S&P_RELEASE_TABLE_ROW,True,3665,2012-01-03,2026-07-31,FORMER_CONSTITUENT_TICKER_DISJOINT_FALSIFICATION
