event_id,ticker,cik,accession_number,accepted_at,filing_date,report_date,form,items,event_kind,primary_document,source_url,source_authority,information_time
SEC-EARNINGS-FLS-0000030625-0001193125-12-009259,FLS,0000030625,0001193125-12-009259,2012-01-11T16:29:53Z,2012-01-11,2012-01-11,8-K,"2.02,5.02,9.01",EARNINGS_RESULT_8K_ITEM_2_02,d281324d8k.htm,https://data.sec.gov/submissions/CIK0000030625-submissions-001.json,SEC_EDGAR_SUBMISSIONS_API,EDGAR_ACCEPTANCE_DATETIME
SEC-EARNINGS-ZION-0000109380-0000109380-12-000050,ZION,0000109380,0000109380-12-000050,2012-01-23T21:10:16Z,2012-01-23,2012-01-23,8-K,"2.02,8.01,9.01",EARNINGS_RESULT_8K_ITEM_2_02,zion_8k.htm,https://data.sec.gov/submissions/CIK0000109380-submissions-002.json,SEC_EDGAR_SUBMISSIONS_API,EDGAR_ACCEPTANCE_DATETIME
SEC-EARNINGS-RHI-0000315213-0001193125-12-025137,RHI,0000315213,0001193125-12-025137,2012-01-26T21:16:03Z,2012-01-26,2012-01-26,8-K,"2.02,9.01",EARNINGS_RESULT_8K_ITEM_2_02,d282496d8k.htm,https://data.sec.gov/submissions/CIK0000315213.json,SEC_EDGAR_SUBMISSIONS_API,EDGAR_ACCEPTANCE_DATETIME
SEC-EARNINGS-NWL-0000814453-0001193125-12-026210,NWL,0000814453,0001193125-12-026210,2012-01-27T13:29:16Z,2012-01-27,2012-01-27,8-K,"2.02,7.01,9.01",EARNINGS_RESULT_8K_ITEM_2_02,d288018d8k.htm,https://data.sec.gov/submissions/CIK0000814453-submissions-001.json,SEC_EDGAR_SUBMISSIONS_API,EDGAR_ACCEPTANCE_DATETIME
SEC-EARNINGS-WHR-0000106640-0000106640-12-000002,WHR,0000106640,0000106640-12-000002,2012-02-01T11:56:04Z,2012-02-01,2012-02-01,8-K,"2.02,9.01",EARNINGS_RESULT_8K_ITEM_2_02,whr12312011-8xk.htm,https://data.sec.gov/submissions/CIK0000106640-submissions-001.json,SEC_EDGAR_SUBMISSIONS_API,EDGAR_ACCEPTANCE_DATETIME
SEC-EARNINGS-NOV-0001021860-0001193125-12-035545,NOV,0001021860,0001193125-12-035545,2012-02-02T12:43:35Z,2012-02-02,2012-02-02,8-K,"2.02,9.01",EARNINGS_RESULT_8K_ITEM_2_02,d295205d8k.htm,https://data.sec.gov/submissions/CIK0001021860.json,SEC_EDGAR_SUBMISSIONS_API,EDGAR_ACCEPTANCE_DATETIME
SEC-EARNINGS-UNM-0000005513-0000005513-12-000003,UNM,0000005513,0000005513-12-000003,2012-02-06T16:11:59Z,2012-02-06,2012-02-03,8-K,"2.02,2.06,9.01",EARNINGS_RESULT_8K_ITEM_2_02,unm123120118-kcover.htm,https://data.sec.gov/submissions/CIK0000005513-submissions-001.json,SEC_EDGAR_SUBMISSIONS_API,EDGAR_ACCEPTANCE_DATETIME
SEC-EARNINGS-LNC-0000059558-0000059558-12-000019,LNC,0000059558,0000059558-12-000019,2012-02-07T21:12:42Z,2012-02-07,2012-02-07,8-K,"2.02,9.01",EARNINGS_RESULT_8K_ITEM_2_02,lincoln8k.htm,https://data.sec.gov/submissions/CIK0000059558-submissions-001.json,SEC_EDGAR_SUBMISSIONS_API,EDGAR_ACCEPTANCE_DATETIME
SEC-EARNINGS-FMC-0000037785-0000037785-12-000002,FMC,0000037785,0000037785-12-000002,2012-02-08T22:26:15Z,2012-02-08,2012-02-08,8-K,"2.02,9.01",EARNINGS_RESULT_8K_ITEM_2_02,fmc123120118k.htm,https://data.sec.gov/submissions/CIK0000037785-submissions-001.json,SEC_EDGAR_SUBMISSIONS_API,EDGAR_ACCEPTANCE_DATETIME
SEC-EARNINGS-IPGP-0001111928-0001193125-12-050890,IPGP,0001111928,0001193125-12-050890,2012-02-10T13:00:59Z,2012-02-10,2012-02-10,8-K,"2.02,9.01",EARNINGS_RESULT_8K_ITEM_2_02,d298939d8k.htm,https://data.sec.gov/submissions/CIK0001111928-submissions-001.json,SEC_EDGAR_SUBMISSIONS_API,EDGAR_ACCEPTANCE_DATETIME
