fold_id,model,train_rows,test_rows,test_positive,test_negative,train_prevalence,roc_auc,brier,log_loss,balanced_accuracy
F1,FULL,125,133,44,89,0.28,0.41292134831460675,0.2523830980133294,0.7310807534262168,0.41164453524004085
F1,NO_INTERACTION,125,133,44,89,0.28,0.4090909090909091,0.2527031757890871,0.7312720259008427,0.41164453524004085
F1,WITHOUT_MARKET_AND_SECTOR_REGIME,125,133,44,89,0.28,0.4078140960163432,0.2498431138927305,0.7121284682276704,0.3831716036772217
F1,WITHOUT_STOCK_EXTENSION_AND_TRANSITION,125,133,44,89,0.28,0.4659090909090909,0.23495418747137625,0.6857379348803093,0.4627170582226762
F1,WITHOUT_PEER_PARTICIPATION,125,133,44,89,0.28,0.39632277834525026,0.24650949015865778,0.7161826982460862,0.434244126659857
F1,WITHOUT_PIT_BUSINESS_VETO,125,133,44,89,0.28,0.3947906026557712,0.25260705457759447,0.7293095871928753,0.41164453524004085
F1,TRAIN_PREVALENCE_BASELINE,125,133,44,89,0.28,0.5,0.2239639097744361,0.6409575315509644,0.5
F2,FULL,250,149,76,73,0.296,0.41816870944484497,0.3084998470281407,0.8260369041748541,0.4740447007930786
F2,NO_INTERACTION,250,149,76,73,0.296,0.41204037490987744,0.31024395743784505,0.829854712060574,0.4411499639509733
F2,WITHOUT_MARKET_AND_SECTOR_REGIME,250,149,76,73,0.296,0.4185291997116078,0.30749469365451015,0.8232716117392261,0.4537671232876712
F2,WITHOUT_STOCK_EXTENSION_AND_TRANSITION,250,149,76,73,0.296,0.43547224224945924,0.30458185260973203,0.8153265913687434,0.4764780100937275
F2,WITHOUT_PEER_PARTICIPATION,250,149,76,73,0.296,0.40591204037490985,0.3102248266331523,0.8297908281926083,0.4406092285508291
F2,WITHOUT_PIT_BUSINESS_VETO,250,149,76,73,0.296,0.44015861571737563,0.30071271183169784,0.8056732514468382,0.46449170872386447
F2,TRAIN_PREVALENCE_BASELINE,250,149,76,73,0.296,0.5,0.29572338255033553,0.7929087116790117,0.5
F3,FULL,382,98,52,46,0.3769633507853403,0.6350334448160535,0.252435082545726,0.6979903936167197,0.552675585284281
F3,NO_INTERACTION,382,98,52,46,0.3769633507853403,0.6538461538461539,0.25235851084157196,0.698092216862487,0.6045150501672241
F3,WITHOUT_MARKET_AND_SECTOR_REGIME,382,98,52,46,0.3769633507853403,0.5702341137123745,0.26134202757918124,0.7165247016240406,0.5275919732441472
F3,WITHOUT_STOCK_EXTENSION_AND_TRANSITION,382,98,52,46,0.3769633507853403,0.6341973244147158,0.25941123177350556,0.7128187757846437,0.6024247491638797
F3,WITHOUT_PEER_PARTICIPATION,382,98,52,46,0.3769633507853403,0.6429765886287625,0.25354596129990864,0.7004860220942667,0.6045150501672241
F3,WITHOUT_PIT_BUSINESS_VETO,382,98,52,46,0.3769633507853403,0.6262541806020067,0.25335946992453395,0.6999586322395597,0.5539297658862876
F3,TRAIN_PREVALENCE_BASELINE,382,98,52,46,0.3769633507853403,0.5,0.27267087312433813,0.7397599701694336,0.5
F4,FULL,498,28,13,15,0.40963855421686746,0.4,0.2826659626949663,0.7623597665765062,0.4307692307692308
F4,NO_INTERACTION,498,28,13,15,0.40963855421686746,0.358974358974359,0.2839177276473039,0.7645006950990048,0.35384615384615387
F4,WITHOUT_MARKET_AND_SECTOR_REGIME,498,28,13,15,0.40963855421686746,0.37435897435897436,0.2668804565137661,0.7278922483993451,0.39743589743589747
F4,WITHOUT_STOCK_EXTENSION_AND_TRANSITION,498,28,13,15,0.40963855421686746,0.4461538461538462,0.26777359532525896,0.7306405521816767,0.49743589743589745
F4,WITHOUT_PEER_PARTICIPATION,498,28,13,15,0.40963855421686746,0.3384615384615385,0.28516716895315236,0.7667049953575404,0.35384615384615387
F4,WITHOUT_PIT_BUSINESS_VETO,498,28,13,15,0.40963855421686746,0.38461538461538464,0.2789988172079738,0.7544325325371587,0.46923076923076923
F4,TRAIN_PREVALENCE_BASELINE,498,28,13,15,0.40963855421686746,0.5,0.2517108018995085,0.6966980616655443,0.5
