ticker,event_date,last_observed_session,event_type,entry_level,episode_start,weekly_rsi,adjusted_close
AAPL,2012-09-07,2012-09-07,EXTREME_ENTRY,75,2012-09-07,76.39974670264681,20.45671654
AAPL,2012-09-14,2012-09-14,EXTREME_PERSISTENCE,75,2012-09-07,77.6120962821391,20.78260994
AAPL,2012-09-28,2012-09-28,COOLING_EXIT,75,2012-09-07,66.95738139442966,20.05566406
AAPL,2014-06-06,2014-06-06,EXTREME_ENTRY,75,2014-06-06,75.39228066782564,20.21875954
AAPL,2014-06-20,2014-06-20,EXTREME_DECELERATION,75,2014-06-06,71.64151762532342,19.93062592
AAPL,2014-07-04,2014-07-03,EXTREME_PERSISTENCE,75,2014-06-06,75.1425617045096,20.61463928
AAPL,2014-08-08,2014-08-08,COOLING_EXIT,75,2014-06-06,69.54330522988568,20.87360764
AAPL,2014-08-22,2014-08-22,EXTREME_ENTRY,75,2014-08-22,76.7947031746547,22.323349
AAPL,2014-08-29,2014-08-29,EXTREME_PERSISTENCE,75,2014-08-22,77.85031700523706,22.58333778
AAPL,2014-09-05,2014-09-05,COOLING_EXIT,75,2014-08-22,67.89951844633192,21.80558205
AAPL,2014-11-14,2014-11-14,EXTREME_ENTRY,75,2014-11-14,77.13247173029538,25.26581764
AAPL,2014-11-21,2014-11-21,EXTREME_PERSISTENCE,75,2014-11-14,78.69242587360583,25.7725563
AAPL,2014-11-28,2014-11-28,EXTREME_ESCALATION,80,2014-11-14,80.25095284701074,26.31690216
AAPL,2014-12-12,2014-12-12,EXTREME_DECELERATION,80,2014-11-14,61.37392100616392,24.28111267
AAPL,2014-12-12,2014-12-12,COOLING_EXIT,80,2014-11-14,61.37392100616392,24.28111267
AAPL,2017-02-10,2017-02-10,EXTREME_ENTRY,75,2017-02-10,76.72073774128762,30.52704811
AAPL,2017-02-17,2017-02-17,EXTREME_PERSISTENCE,75,2017-02-10,79.00341091984089,31.35883904
AAPL,2017-03-03,2017-03-03,EXTREME_ESCALATION,80,2017-02-10,81.35513947796508,32.29692078
AAPL,2017-04-14,2017-04-13,EXTREME_DECELERATION,80,2017-02-10,75.40378976701847,32.59036636
AAPL,2017-06-09,2017-06-09,COOLING_EXIT,80,2017-02-10,66.3800983402944,34.56471634
AAPL,2018-08-17,2018-08-17,EXTREME_ENTRY,75,2018-08-17,75.82823165100099,51.4450531
AAPL,2018-08-31,2018-08-31,EXTREME_PERSISTENCE,75,2018-08-17,78.37390699179045,53.82129669
AAPL,2018-09-21,2018-09-21,COOLING_EXIT,75,2018-08-17,66.02822395620342,51.46396255
AAPL,2019-10-25,2019-10-25,EXTREME_ENTRY,75,2019-10-25,77.55330973651583,59.20658493
